order_id,buyer_id,order_date,total_amount,payment_method,order_status
20068,1722,2022-01-03 19:00:00,1262.75,UPI,Cancelled
20069,3665,2022-01-03 20:00:00,1595.28,Net Banking,Pending
20070,3100,2022-01-03 21:00:00,8826.47,Net Banking,Pending
20071,4089,2022-01-03 22:00:00,964.6,Credit Card,Delivered
20072,400,2022-01-03 23:00:00,5186.52,Credit Card,Cancelled
20073,3823,2022-01-04 00:00:00,11347.36,UPI,Delivered
20074,3581,2022-01-04 01:00:00,4556.35,UPI,Delivered
20075,60,2022-01-04 02:00:00,11496.96,Credit Card,Shipped
20076,3722,2022-01-04 03:00:00,11232.91,Net Banking,Pending
20077,442,2022-01-04 04:00:00,3838.24,COD,Shipped
20078,2941,2022-01-04 05:00:00,10986.57,Credit Card,Shipped
20079,4582,2022-01-04 06:00:00,11267.09,Net Banking,Shipped
20080,1808,2022-01-04 07:00:00,6082.32,Net Banking,Pending
20081,3406,2022-01-04 08:00:00,3314.22,Credit Card,Shipped
20082,3391,2022-01-04 09:00:00,7914.81,COD,Cancelled
20083,330,2022-01-04 10:00:00,13836.68,Net Banking,Delivered
20084,1313,2022-01-04 11:00:00,9666.33,COD,Pending
20085,4199,2022-01-04 12:00:00,2759.25,Net Banking,Cancelled
20086,2254,2022-01-04 13:00:00,10304.8,UPI,Shipped
20087,3711,2022-01-04 14:00:00,6522.6,Net Banking,Pending
20088,2403,2022-01-04 15:00:00,8954.63,UPI,Delivered
20089,2499,2022-01-04 16:00:00,11064.15,COD,Pending
20090,3818,2022-01-04 17:00:00,7821.22,COD,Cancelled
20091,1568,2022-01-04 18:00:00,12246.96,COD,Pending
20092,4996,2022-01-04 19:00:00,10887.9,Net Banking,Shipped
20093,952,2022-01-04 20:00:00,9303.09,COD,Delivered
20094,2937,2022-01-04 21:00:00,2431.73,Net Banking,Delivered
20095,214,2022-01-04 22:00:00,12572.05,UPI,Cancelled
20096,1765,2022-01-04 23:00:00,14051.4,Credit Card,Shipped
20097,2325,2022-01-05 00:00:00,2227.08,Credit Card,Pending
20098,2309,2022-01-05 01:00:00,7425.97,COD,Pending
20099,4618,2022-01-05 02:00:00,4031.55,UPI,Delivered
20100,4233,2022-01-05 03:00:00,11366.94,Credit Card,Cancelled
20101,4862,2022-01-05 04:00:00,10880.12,COD,Pending
20102,2319,2022-01-05 05:00:00,2285.1,Net Banking,Shipped
20103,4496,2022-01-05 06:00:00,13180,COD,Cancelled
20104,2261,2022-01-05 07:00:00,2878.4,Net Banking,Cancelled
20105,711,2022-01-05 08:00:00,11999.43,Credit Card,Pending
20106,3753,2022-01-05 09:00:00,6963.31,Credit Card,Pending
20107,2098,2022-01-05 10:00:00,5058.43,Credit Card,Delivered
20108,123,2022-01-05 11:00:00,2541.94,Credit Card,Delivered
20109,698,2022-01-05 12:00:00,2680.69,Credit Card,Delivered
20110,1584,2022-01-05 13:00:00,9995.98,COD,Shipped
20111,4949,2022-01-05 14:00:00,8346.37,COD,Delivered
20112,3161,2022-01-05 15:00:00,2006.86,UPI,Cancelled
20113,1998,2022-01-05 16:00:00,1867.93,UPI,Delivered
20114,70,2022-01-05 17:00:00,1270.2,COD,Shipped
20115,3957,2022-01-05 18:00:00,11207.76,Net Banking,Pending
20116,3309,2022-01-05 19:00:00,10735.85,UPI,Delivered
20117,864,2022-01-05 20:00:00,1064.78,COD,Delivered
20118,2965,2022-01-05 21:00:00,8492,UPI,Cancelled
20119,920,2022-01-05 22:00:00,1453.21,Net Banking,Delivered
20120,475,2022-01-05 23:00:00,13575.44,Credit Card,Cancelled
20121,1957,2022-01-06 00:00:00,13625.34,UPI,Shipped
20122,750,2022-01-06 01:00:00,10533.85,Net Banking,Cancelled
20123,1687,2022-01-06 02:00:00,13907.6,UPI,Shipped
20124,109,2022-01-06 03:00:00,12209.5,UPI,Pending
20125,1962,2022-01-06 04:00:00,12462.37,Net Banking,Cancelled
20126,1518,2022-01-06 05:00:00,8631.68,UPI,Shipped
20127,4776,2022-01-06 06:00:00,4729.68,UPI,Cancelled
20128,2747,2022-01-06 07:00:00,3423.43,Net Banking,Cancelled
20129,1139,2022-01-06 08:00:00,5042.56,Net Banking,Delivered
20130,2433,2022-01-06 09:00:00,9501.73,COD,Shipped
20131,3619,2022-01-06 10:00:00,2755.32,COD,Delivered
20132,2165,2022-01-06 11:00:00,4027.88,Credit Card,Pending
20133,4737,2022-01-06 12:00:00,7127.3,COD,Shipped
20134,800,2022-01-06 13:00:00,3649.14,UPI,Cancelled
20135,4846,2022-01-06 14:00:00,8911.93,UPI,Delivered
20136,299,2022-01-06 15:00:00,13863.01,Net Banking,Shipped
20137,4808,2022-01-06 16:00:00,11271.72,Credit Card,Pending
20138,335,2022-01-06 17:00:00,10063.11,COD,Cancelled
20139,1617,2022-01-06 18:00:00,8824.28,Credit Card,Pending
20140,2384,2022-01-06 19:00:00,7421.63,UPI,Shipped
20141,1447,2022-01-06 20:00:00,2961.15,UPI,Delivered
20142,1176,2022-01-06 21:00:00,13441.71,Net Banking,Pending
20143,4717,2022-01-06 22:00:00,3878.33,UPI,Pending
20144,4019,2022-01-06 23:00:00,1551.37,Credit Card,Delivered
20145,2082,2022-01-07 00:00:00,11300.22,Net Banking,Pending
20146,65,2022-01-07 01:00:00,2799.11,COD,Pending
20147,1541,2022-01-07 02:00:00,5704.06,Net Banking,Pending
20148,794,2022-01-07 03:00:00,618.62,Net Banking,Delivered
20149,3153,2022-01-07 04:00:00,2228.61,COD,Cancelled
20150,3421,2022-01-07 05:00:00,2763.41,UPI,Cancelled
20151,2145,2022-01-07 06:00:00,1005.27,Credit Card,Pending
20152,610,2022-01-07 07:00:00,9918.52,Net Banking,Delivered
20153,648,2022-01-07 08:00:00,12587.72,Net Banking,Pending
20154,1410,2022-01-07 09:00:00,5725.07,Credit Card,Shipped
20155,3624,2022-01-07 10:00:00,13143.73,Net Banking,Cancelled
20156,4036,2022-01-07 11:00:00,3357.53,Credit Card,Pending
20157,4321,2022-01-07 12:00:00,5015.78,Credit Card,Shipped
20158,1848,2022-01-07 13:00:00,2430.91,Net Banking,Shipped
20159,4853,2022-01-07 14:00:00,9384.28,Net Banking,Pending
20160,316,2022-01-07 15:00:00,6414.07,Net Banking,Cancelled
20161,2236,2022-01-07 16:00:00,9276.59,Credit Card,Shipped
20162,2086,2022-01-07 17:00:00,11472.79,UPI,Delivered
20163,1048,2022-01-07 18:00:00,8276.4,Credit Card,Delivered
20164,1632,2022-01-07 19:00:00,9488.93,Credit Card,Cancelled
20165,1168,2022-01-07 20:00:00,14041.7,UPI,Pending
20166,4360,2022-01-07 21:00:00,4626.15,Credit Card,Delivered
20167,1563,2022-01-07 22:00:00,5515.63,UPI,Shipped
20168,4579,2022-01-07 23:00:00,10822.01,COD,Cancelled
20169,4863,2022-01-08 00:00:00,9247.32,COD,Pending
20170,3935,2022-01-08 01:00:00,2842.29,Net Banking,Cancelled
20171,2775,2022-01-08 02:00:00,5766.98,COD,Shipped
20172,2887,2022-01-08 03:00:00,7124,Net Banking,Shipped
20173,1656,2022-01-08 04:00:00,6406.97,Net Banking,Cancelled
20174,972,2022-01-08 05:00:00,2838.47,Net Banking,Pending
20175,636,2022-01-08 06:00:00,13881.57,UPI,Delivered
20176,1610,2022-01-08 07:00:00,11482.32,UPI,Pending
20177,3164,2022-01-08 08:00:00,7324.07,COD,Pending
20178,4856,2022-01-08 09:00:00,10264.9,UPI,Delivered
20179,1145,2022-01-08 10:00:00,13479.78,UPI,Cancelled
20180,2965,2022-01-08 11:00:00,2215.38,UPI,Shipped
20181,1186,2022-01-08 12:00:00,3905.52,UPI,Cancelled
20182,4099,2022-01-08 13:00:00,8231.98,UPI,Pending
20183,2443,2022-01-08 14:00:00,12025.35,COD,Shipped
20184,2349,2022-01-08 15:00:00,736.57,COD,Pending
20185,97,2022-01-08 16:00:00,14763.47,Net Banking,Delivered
20186,2555,2022-01-08 17:00:00,6932.62,UPI,Delivered
20187,478,2022-01-08 18:00:00,5516.62,UPI,Delivered
20188,3751,2022-01-08 19:00:00,4532.32,Credit Card,Cancelled
20189,3119,2022-01-08 20:00:00,2780.48,COD,Cancelled
20190,407,2022-01-08 21:00:00,11915.29,Net Banking,Cancelled
20191,2455,2022-01-08 22:00:00,14340.13,UPI,Delivered
20192,3013,2022-01-08 23:00:00,6321.94,COD,Delivered
20193,4455,2022-01-09 00:00:00,14295.83,Net Banking,Shipped
20194,4792,2022-01-09 01:00:00,12392.2,COD,Pending
20195,1331,2022-01-09 02:00:00,7319.56,Credit Card,Cancelled
20196,2248,2022-01-09 03:00:00,10175.59,Net Banking,Cancelled
20197,3888,2022-01-09 04:00:00,6637.77,COD,Delivered
20198,3957,2022-01-09 05:00:00,8469.11,UPI,Pending
20199,1382,2022-01-09 06:00:00,1059.09,UPI,Shipped
20200,716,2022-01-09 07:00:00,10504.7,Credit Card,Cancelled
20201,4239,2022-01-09 08:00:00,981.8,COD,Delivered
20202,296,2022-01-09 09:00:00,12292.86,COD,Delivered
20203,1233,2022-01-09 10:00:00,12409.21,UPI,Delivered
20204,3166,2022-01-09 11:00:00,3708.74,Net Banking,Cancelled
20205,1637,2022-01-09 12:00:00,4990.21,Net Banking,Cancelled
20206,4125,2022-01-09 13:00:00,7323.39,Net Banking,Cancelled
20207,2413,2022-01-09 14:00:00,9030.61,Net Banking,Shipped
20208,731,2022-01-09 15:00:00,4452.83,Credit Card,Pending
20209,1364,2022-01-09 16:00:00,8968.8,Credit Card,Delivered
20210,1601,2022-01-09 17:00:00,4607.25,UPI,Cancelled
20211,4927,2022-01-09 18:00:00,1021.26,UPI,Cancelled
20212,3024,2022-01-09 19:00:00,237.41,Net Banking,Delivered
20213,2682,2022-01-09 20:00:00,1697.04,UPI,Pending
20214,4121,2022-01-09 21:00:00,11925.31,COD,Cancelled
20215,3230,2022-01-09 22:00:00,14429.18,COD,Pending
20216,4789,2022-01-09 23:00:00,6519.1,Net Banking,Pending
20217,2988,2022-01-10 00:00:00,7787.72,Net Banking,Pending
20218,602,2022-01-10 01:00:00,2373.35,COD,Cancelled
20219,3668,2022-01-10 02:00:00,8355.26,Net Banking,Shipped
20220,3678,2022-01-10 03:00:00,2340.89,COD,Pending
20221,975,2022-01-10 04:00:00,9245.97,UPI,Cancelled
20222,3995,2022-01-10 05:00:00,14012.23,Credit Card,Shipped
20223,1413,2022-01-10 06:00:00,3096.34,Credit Card,Cancelled
20224,3954,2022-01-10 07:00:00,11515.54,Credit Card,Cancelled
20225,2115,2022-01-10 08:00:00,547.84,COD,Pending
20226,4093,2022-01-10 09:00:00,5757.36,Net Banking,Cancelled
20227,55,2022-01-10 10:00:00,1839.08,Credit Card,Shipped
20228,1305,2022-01-10 11:00:00,5416.64,Net Banking,Cancelled
20229,721,2022-01-10 12:00:00,2768.35,Credit Card,Cancelled
20230,127,2022-01-10 13:00:00,5724.91,UPI,Shipped
20231,3259,2022-01-10 14:00:00,6379.34,Credit Card,Delivered
20232,3812,2022-01-10 15:00:00,4648.75,UPI,Cancelled
20233,394,2022-01-10 16:00:00,9918,COD,Cancelled
20234,2325,2022-01-10 17:00:00,13799.01,Net Banking,Delivered
20235,4550,2022-01-10 18:00:00,6128.81,Credit Card,Delivered
20236,739,2022-01-10 19:00:00,3046.68,Net Banking,Delivered
20237,3130,2022-01-10 20:00:00,4206.7,COD,Shipped
20238,2777,2022-01-10 21:00:00,12839.21,UPI,Shipped
20239,2970,2022-01-10 22:00:00,8660.27,UPI,Delivered
20240,3793,2022-01-10 23:00:00,6934.16,Net Banking,Pending
20241,539,2022-01-11 00:00:00,2414.62,COD,Shipped
20242,1368,2022-01-11 01:00:00,6855.96,Credit Card,Pending
20243,1380,2022-01-11 02:00:00,4321.68,Credit Card,Delivered
20244,3532,2022-01-11 03:00:00,14158.81,Credit Card,Shipped
20245,2267,2022-01-11 04:00:00,13284.24,UPI,Shipped
20246,815,2022-01-11 05:00:00,1441.76,UPI,Delivered
20247,643,2022-01-11 06:00:00,7846.47,UPI,Delivered
20248,4781,2022-01-11 07:00:00,3530.86,COD,Cancelled
20249,620,2022-01-11 08:00:00,6279.5,Credit Card,Delivered
20250,4339,2022-01-11 09:00:00,13177.35,Net Banking,Cancelled
20251,2763,2022-01-11 10:00:00,8007.21,Net Banking,Cancelled
20252,1845,2022-01-11 11:00:00,5146.39,COD,Delivered
20253,1577,2022-01-11 12:00:00,3276.75,Credit Card,Delivered
20254,3603,2022-01-11 13:00:00,12044.81,Net Banking,Delivered
20255,2751,2022-01-11 14:00:00,9442.87,UPI,Shipped
20256,3145,2022-01-11 15:00:00,7127.37,Credit Card,Shipped
20257,3232,2022-01-11 16:00:00,3418.77,Credit Card,Shipped
20258,1978,2022-01-11 17:00:00,5146.85,Net Banking,Cancelled
20259,1634,2022-01-11 18:00:00,14405.68,UPI,Cancelled
20260,4181,2022-01-11 19:00:00,7897.33,COD,Pending
20261,173,2022-01-11 20:00:00,6130.35,COD,Shipped
20262,1415,2022-01-11 21:00:00,7917.05,Net Banking,Shipped
20263,2829,2022-01-11 22:00:00,11729.03,Net Banking,Pending
20264,2843,2022-01-11 23:00:00,5233.61,Credit Card,Shipped
20265,4417,2022-01-12 00:00:00,2844.85,Net Banking,Pending
20266,280,2022-01-12 01:00:00,8857.05,Net Banking,Shipped
20267,3587,2022-01-12 02:00:00,10045.02,COD,Pending
20268,660,2022-01-12 03:00:00,10748.23,COD,Delivered
20269,320,2022-01-12 04:00:00,13253.42,Net Banking,Shipped
20270,340,2022-01-12 05:00:00,5693.38,UPI,Delivered
20271,758,2022-01-12 06:00:00,1315.25,COD,Cancelled
20272,2614,2022-01-12 07:00:00,14383.56,COD,Pending
20273,4701,2022-01-12 08:00:00,6638.18,Net Banking,Delivered
20274,1176,2022-01-12 09:00:00,9424.21,COD,Shipped
20275,3774,2022-01-12 10:00:00,10061.32,UPI,Delivered
20276,4862,2022-01-12 11:00:00,8288.4,UPI,Delivered
20277,1691,2022-01-12 12:00:00,3237.81,UPI,Delivered
20278,2064,2022-01-12 13:00:00,11376.12,UPI,Cancelled
20279,3755,2022-01-12 14:00:00,12095.53,UPI,Shipped
20280,2463,2022-01-12 15:00:00,8384.04,UPI,Cancelled
20281,2726,2022-01-12 16:00:00,7430.71,Credit Card,Shipped
20282,2624,2022-01-12 17:00:00,1886.29,Credit Card,Pending
20283,3210,2022-01-12 18:00:00,1442.48,Net Banking,Shipped
20284,1980,2022-01-12 19:00:00,5225.56,UPI,Delivered
20285,775,2022-01-12 20:00:00,4800.52,COD,Cancelled
20286,4115,2022-01-12 21:00:00,14314.12,UPI,Shipped
20287,4072,2022-01-12 22:00:00,11797.62,Credit Card,Shipped
20288,2243,2022-01-12 23:00:00,9966.88,COD,Pending
20289,577,2022-01-13 00:00:00,7861.19,Credit Card,Pending
20290,4558,2022-01-13 01:00:00,2677.04,Net Banking,Shipped
20291,1304,2022-01-13 02:00:00,14681.16,Credit Card,Pending
20292,1197,2022-01-13 03:00:00,5750.6,COD,Cancelled
20293,3224,2022-01-13 04:00:00,1782.5,Credit Card,Shipped
20294,2789,2022-01-13 05:00:00,7508.22,UPI,Delivered
20295,263,2022-01-13 06:00:00,13135.17,Credit Card,Delivered
20296,4215,2022-01-13 07:00:00,13331.91,UPI,Shipped
20297,1128,2022-01-13 08:00:00,362.3,Net Banking,Delivered
20298,212,2022-01-13 09:00:00,13317.18,Credit Card,Pending
20299,1096,2022-01-13 10:00:00,4217.97,Credit Card,Delivered
20300,1164,2022-01-13 11:00:00,776.79,UPI,Delivered
20301,764,2022-01-13 12:00:00,12747.3,Net Banking,Pending
20302,4353,2022-01-13 13:00:00,12985.23,Net Banking,Cancelled
20303,2503,2022-01-13 14:00:00,9024.22,Net Banking,Shipped
20304,1615,2022-01-13 15:00:00,8701.62,COD,Delivered
20305,3780,2022-01-13 16:00:00,12234.18,UPI,Delivered
20306,3352,2022-01-13 17:00:00,11837.38,COD,Delivered
20307,97,2022-01-13 18:00:00,13373.56,COD,Cancelled
20308,3828,2022-01-13 19:00:00,8380.66,Credit Card,Pending
20309,2462,2022-01-13 20:00:00,14521.18,COD,Delivered
20310,3349,2022-01-13 21:00:00,14942.97,COD,Shipped
20311,3486,2022-01-13 22:00:00,1924.86,Net Banking,Delivered
20312,2751,2022-01-13 23:00:00,12773.25,Net Banking,Delivered
20313,201,2022-01-14 00:00:00,7597.37,COD,Pending
20314,2949,2022-01-14 01:00:00,5935.98,Net Banking,Cancelled
20315,1045,2022-01-14 02:00:00,9273.47,UPI,Shipped
20316,2914,2022-01-14 03:00:00,1028.29,COD,Pending
20317,36,2022-01-14 04:00:00,7695.62,COD,Cancelled
20318,3510,2022-01-14 05:00:00,13089.18,Credit Card,Cancelled
20319,2908,2022-01-14 06:00:00,3359.23,COD,Shipped
20320,1841,2022-01-14 07:00:00,6510.57,Credit Card,Delivered
20321,4493,2022-01-14 08:00:00,14104.32,Net Banking,Shipped
20322,821,2022-01-14 09:00:00,6542.74,UPI,Delivered
20323,1064,2022-01-14 10:00:00,5503.84,COD,Delivered
20324,2682,2022-01-14 11:00:00,6719.94,Credit Card,Delivered
20325,4577,2022-01-14 12:00:00,7887.9,UPI,Shipped
20326,3722,2022-01-14 13:00:00,9553.47,COD,Shipped
20327,1408,2022-01-14 14:00:00,12050.25,UPI,Cancelled
20328,2782,2022-01-14 15:00:00,6891.11,COD,Pending
20329,2555,2022-01-14 16:00:00,12298.72,Credit Card,Pending
20330,800,2022-01-14 17:00:00,8099.07,Credit Card,Shipped
20331,1008,2022-01-14 18:00:00,5209.51,COD,Delivered
20332,3039,2022-01-14 19:00:00,9937.67,COD,Delivered
20333,1673,2022-01-14 20:00:00,10822.29,COD,Shipped
20334,1636,2022-01-14 21:00:00,8459.12,Credit Card,Cancelled
20335,1302,2022-01-14 22:00:00,1037.9,COD,Shipped
20336,596,2022-01-14 23:00:00,2714.27,Net Banking,Pending
20337,1427,2022-01-15 00:00:00,4422.41,UPI,Delivered
20338,145,2022-01-15 01:00:00,4382.86,UPI,Delivered
20339,3017,2022-01-15 02:00:00,10166.63,Credit Card,Delivered
20340,3258,2022-01-15 03:00:00,471.56,COD,Shipped
20341,2560,2022-01-15 04:00:00,11384.09,Net Banking,Delivered
20342,2029,2022-01-15 05:00:00,4127.07,COD,Delivered
20343,925,2022-01-15 06:00:00,4788.32,COD,Pending
20344,209,2022-01-15 07:00:00,8013.07,Credit Card,Cancelled
20345,4024,2022-01-15 08:00:00,3395.7,Credit Card,Cancelled
20346,3715,2022-01-15 09:00:00,13290.18,COD,Shipped
20347,4372,2022-01-15 10:00:00,1463.46,Net Banking,Pending
20348,1001,2022-01-15 11:00:00,6776.86,Credit Card,Pending
20349,2852,2022-01-15 12:00:00,12771.45,Credit Card,Delivered
20350,3737,2022-01-15 13:00:00,9314.49,Credit Card,Delivered
20351,4165,2022-01-15 14:00:00,4526.48,UPI,Shipped
20352,3372,2022-01-15 15:00:00,6427.25,COD,Cancelled
20353,4434,2022-01-15 16:00:00,10659.08,Credit Card,Delivered
20354,4090,2022-01-15 17:00:00,14604.26,COD,Cancelled
20355,1805,2022-01-15 18:00:00,13418.45,Credit Card,Cancelled
20356,272,2022-01-15 19:00:00,5268.01,Credit Card,Delivered
20357,3131,2022-01-15 20:00:00,14973.33,UPI,Cancelled
20358,2835,2022-01-15 21:00:00,251.87,UPI,Shipped
20359,4422,2022-01-15 22:00:00,608.92,Credit Card,Shipped
20360,1262,2022-01-15 23:00:00,12392.84,Net Banking,Cancelled
20361,2556,2022-01-16 00:00:00,3152.05,Net Banking,Delivered
20362,1550,2022-01-16 01:00:00,1099.39,UPI,Cancelled
20363,1083,2022-01-16 02:00:00,3709.79,UPI,Delivered
20364,905,2022-01-16 03:00:00,6506.28,COD,Cancelled
20365,1670,2022-01-16 04:00:00,11012.38,Credit Card,Shipped
20366,2498,2022-01-16 05:00:00,9440.17,COD,Delivered
20367,3600,2022-01-16 06:00:00,3716.79,Credit Card,Delivered
20368,3600,2022-01-16 07:00:00,7648.4,UPI,Pending
20369,2290,2022-01-16 08:00:00,13907.97,Net Banking,Shipped
20370,1954,2022-01-16 09:00:00,12262.12,COD,Cancelled
20371,3770,2022-01-16 10:00:00,4983.21,UPI,Shipped
20372,4605,2022-01-16 11:00:00,14737.52,COD,Shipped
20373,2401,2022-01-16 12:00:00,10687.58,Credit Card,Cancelled
20374,2984,2022-01-16 13:00:00,1124.25,UPI,Shipped
20375,3976,2022-01-16 14:00:00,720.38,UPI,Pending
20376,3336,2022-01-16 15:00:00,2692.44,Credit Card,Shipped
20377,4690,2022-01-16 16:00:00,10972.27,COD,Cancelled
20378,389,2022-01-16 17:00:00,2919.34,Credit Card,Cancelled
20379,537,2022-01-16 18:00:00,7770,Credit Card,Cancelled
20380,2,2022-01-16 19:00:00,1580.25,Net Banking,Pending
20381,156,2022-01-16 20:00:00,13829.12,COD,Delivered
20382,251,2022-01-16 21:00:00,5290.62,COD,Shipped
20383,57,2022-01-16 22:00:00,13640.35,Credit Card,Pending
20384,1372,2022-01-16 23:00:00,14184.16,Credit Card,Cancelled
20385,1,2022-01-17 00:00:00,290.7,UPI,Pending
20386,2226,2022-01-17 01:00:00,7069.2,COD,Delivered
20387,3644,2022-01-17 02:00:00,564.91,COD,Delivered
20388,4807,2022-01-17 03:00:00,13648.65,Credit Card,Pending
20389,487,2022-01-17 04:00:00,7872.43,Net Banking,Cancelled
20390,1841,2022-01-17 05:00:00,1309.17,UPI,Shipped
20391,3229,2022-01-17 06:00:00,1832.1,COD,Pending
20392,4855,2022-01-17 07:00:00,5875.93,COD,Cancelled
20393,3710,2022-01-17 08:00:00,14115.47,COD,Delivered
20394,1865,2022-01-17 09:00:00,10455.06,COD,Shipped
20395,1400,2022-01-17 10:00:00,13040.76,COD,Shipped
20396,3269,2022-01-17 11:00:00,5623.56,Credit Card,Cancelled
20397,1488,2022-01-17 12:00:00,839.56,UPI,Pending
20398,175,2022-01-17 13:00:00,14619.9,Credit Card,Shipped
20399,601,2022-01-17 14:00:00,454.16,Credit Card,Pending
20400,710,2022-01-17 15:00:00,14225.24,COD,Delivered
20401,2285,2022-01-17 16:00:00,5656.43,UPI,Shipped
20402,4662,2022-01-17 17:00:00,349.34,COD,Pending
20403,4917,2022-01-17 18:00:00,10399.53,Credit Card,Delivered
20404,4573,2022-01-17 19:00:00,14712,COD,Cancelled
20405,602,2022-01-17 20:00:00,14491.26,Net Banking,Pending
20406,3184,2022-01-17 21:00:00,2581.87,COD,Pending
20407,4763,2022-01-17 22:00:00,2882.47,UPI,Cancelled
20408,3964,2022-01-17 23:00:00,8569.98,COD,Pending
20409,4402,2022-01-18 00:00:00,9632.11,UPI,Shipped
20410,4661,2022-01-18 01:00:00,11143.39,COD,Shipped
20411,873,2022-01-18 02:00:00,2879.55,Credit Card,Shipped
20412,563,2022-01-18 03:00:00,14393.3,COD,Delivered
20413,3625,2022-01-18 04:00:00,9653.34,Net Banking,Delivered
20414,2277,2022-01-18 05:00:00,12736.29,Net Banking,Shipped
20415,4433,2022-01-18 06:00:00,8192.97,UPI,Pending
20416,3475,2022-01-18 07:00:00,6331.3,UPI,Shipped
20417,1366,2022-01-18 08:00:00,14662.31,Credit Card,Delivered
